,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
126,paita,44,PE,1547685615,68,77.91,-5.09,-81.11,9.44
127,emilio carranza,92,MX,1547685615,94,67.34,19.97,-96.61,2.39
128,bambous virieux,75,MU,1547683200,88,78.8,-20.34,57.76,3.36
129,east london,92,ZA,1547685214,100,72.29,-33.02,27.91,22.86
130,puerto ayora,75,EC,1547683200,69,82.4,-0.74,-90.35,14.99
131,san cristobal,40,EC,1547683200,93,57.2,-0.39,-78.55,8.05
132,port macquarie,0,AU,1547683200,48,86.0,-31.43,152.91,10.29
133,masunga,48,BW,1547685616,90,67.25,-20.62,27.45,6.76
134,jamestown,80,AU,1547685181,81,79.85,-33.21,138.6,2.84
135,diu,0,IN,1547685617,71,53.43,20.71,70.98,5.19
136,clermont,0,AU,1547685617,50,84.93,-22.82,147.64,8.21
137,esmeraldas,0,BR,1547683200,69,75.2,-19.76,-44.31,5.82
138,sladkovo,56,RU,1547685618,87,10.59,55.53,70.34,10.11
139,faya,0,SA,1547683200,30,53.6,18.39,42.45,2.73
140,albina,88,GF,1547685619,78,78.72,5.5,-54.06,4.29
141,kaka,36,TM,1547685619,73,35.66,37.35,59.62,3.4
142,broome,12,GB,1547684400,93,38.12,52.47,1.45,12.75
143,yulara,0,AU,1547683200,26,96.8,-25.24,130.99,8.05
144,clyde river,75,CA,1547683200,75,-20.21,70.47,-68.59,14.99
145,puerto escondido,75,MX,1547682300,66,84.2,15.86,-97.07,5.82
146,port alfred,92,ZA,1547685194,95,71.61,-33.59,26.89,20.4
147,nanortalik,88,GL,1547684946,98,28.37,60.14,-45.24,9.66
148,verkhnyaya sinyachikha,12,RU,1547685622,75,24.5,57.98,61.67,9.78
149,cherskiy,76,RU,1547685235,81,-26.13,68.75,161.3,3.74
150,itarema,32,BR,1547685255,92,77.69,-2.92,-39.92,8.43
151,koumac,12,NC,1547685623,66,84.17,-20.56,164.28,5.41
152,saint anthony,90,US,1547682960,85,33.98,43.97,-111.68,5.82
153,zanesville,90,US,1547684100,88,33.98,39.94,-82.01,3.4
154,mehamn,48,NO,1547685248,88,12.71,71.03,27.85,1.28
155,werda,24,DE,1547684400,69,39.2,50.44,12.3,13.87
156,saldanha,12,PT,1547684985,91,28.91,41.42,-6.55,2.73
157,saint-pierre,90,FR,1547681400,93,44.6,48.95,4.24,20.8
158,santo antonio do ica,44,BR,1547685624,94,76.25,-3.1,-67.94,2.62
159,union city,90,US,1547685300,81,48.2,36.42,-89.06,4.7
160,debre sina,0,ET,1547685625,72,35.57,9.85,39.76,0.49
161,svarychiv,44,UA,1547685625,85,32.6,48.96,24.19,8.43
162,ukiah,90,US,1547683680,89,53.96,39.15,-123.21,17.22
163,laguna,90,MX,1547682240,50,75.2,27.52,-110.01,9.17
164,hoquiam,90,US,1547682780,68,48.92,46.98,-123.89,18.34
165,mackay,90,CA,1547684220,92,15.8,53.65,-115.58,9.17
166,hambantota,8,LK,1547685245,100,77.46,6.12,81.12,17.49
167,port moresby,20,PG,1547685627,93,84.66,-9.47,147.16,9.33
168,bundaberg,75,AU,1547683200,45,86.0,-24.87,152.35,10.29
169,baruun-urt,0,MN,1547685627,64,-2.28,46.68,113.28,12.24
170,coquimbo,0,CL,1547683200,82,62.6,-29.95,-71.34,5.82
171,mahibadhoo,88,MV,1547685628,100,80.84,3.78,72.97,13.47
172,biloela,0,AU,1547685201,53,83.94,-24.4,150.51,5.75
173,aleksandrov gay,68,RU,1547685628,96,30.57,50.14,48.57,12.01
174,ngunguru,0,NZ,1547685629,83,73.46,-35.62,174.5,15.26
175,vaini,0,IN,1547683200,77,59.0,15.34,74.49,3.18
176,nemuro,75,JP,1547683200,62,23.0,43.32,145.57,8.05
177,muisne,88,EC,1547685630,98,72.74,0.61,-80.02,2.84
178,rio gallegos,0,AR,1547679600,30,57.2,-51.62,-69.22,20.8
179,qaanaaq,0,GL,1547685218,100,-22.49,77.48,-69.36,9.1
180,charagua,0,BO,1547685631,52,83.76,-19.79,-63.2,23.31
181,codrington,40,AU,1547683200,48,87.8,-28.95,153.24,2.24
182,orsha,12,BY,1547685632,82,17.21,54.51,30.43,10.45
183,benguela,0,AO,1547685579,100,74.67,-12.58,13.4,6.53
184,klaksvik,64,FO,1547682600,55,37.4,62.23,-6.59,29.97
185,sola,0,NO,1547684400,80,37.4,58.89,5.65,11.41
186,berdigestyakh,0,RU,1547685634,0,-47.06,62.1,126.7,3.4
187,souillac,64,FR,1547683200,100,48.2,45.6,-0.6,11.41
188,shwebo,0,MM,1547685634,87,57.89,22.57,95.7,8.99
189,culpeper,1,US,1547684100,85,41.0,38.47,-78.0,6.08
190,cabo san lucas,40,MX,1547682180,65,77.0,22.89,-109.91,8.05
191,antalaha,92,MG,1547685635,100,74.94,-14.9,50.28,2.62
192,chicama,90,PE,1547683200,83,71.6,-7.84,-79.15,13.87
193,san patricio,20,PY,1547685211,86,82.41,-26.98,-56.83,1.28
194,vila velha,20,BR,1547683200,83,80.6,-3.71,-38.6,3.36
195,marsh harbour,80,BS,1547685039,100,68.37,26.54,-77.06,13.24
196,ciudad bolivar,76,VE,1547685636,56,84.21,8.12,-63.55,15.93
197,yumen,88,CN,1547684610,80,6.54,40.29,97.04,11.23
198,altay,68,CN,1547685637,77,4.74,47.83,88.13,1.83
199,tautira,40,PF,1547683200,66,87.8,-17.73,-149.15,14.99
200,lompoc,90,US,1547684100,87,64.04,34.64,-120.46,17.22
201,chara,0,GR,1547682600,59,37.4,39.42,22.43,4.7
202,tasiilaq,92,GL,1547682600,85,19.4,65.61,-37.64,33.33
203,dhanera,0,IN,1547685639,68,54.33,24.51,72.02,2.95
204,yellowknife,20,CA,1547683200,67,-25.61,62.45,-114.38,11.41
205,cape town,0,ZA,1547683200,73,69.8,-33.93,18.42,3.36
206,tequisquiapan,75,MX,1547682780,37,69.8,20.52,-99.89,11.41
207,maiduguri,0,NG,1547685640,63,52.89,11.84,13.15,3.4
208,turan,64,RU,1547685640,65,-17.13,52.15,93.92,1.16
209,saskylakh,76,RU,1547685181,75,-17.36,71.97,114.09,13.8
210,ferme-neuve,0,CA,1547685641,54,-0.35,46.7,-75.45,8.1
211,villa guerrero,68,MX,1547685641,69,61.89,21.98,-103.59,1.83
212,buala,64,SB,1547685641,91,83.58,-8.15,159.59,5.19
213,bambanglipuro,88,ID,1547684984,100,73.19,-7.95,110.28,3.96
214,sampit,80,ID,1547685642,95,76.7,-2.54,112.95,4.63
215,george,0,NG,1547683200,94,80.6,6.63,3.35,2.24
216,lebu,0,ET,1547684922,77,37.86,8.96,38.73,2.62
217,lagunas,88,PE,1547685642,99,73.68,-5.23,-75.68,2.39
218,duluth,1,US,1547685300,60,10.4,46.77,-92.13,3.4
219,north bend,75,US,1547682960,77,53.96,43.41,-124.22,17.22
220,iquique,0,CL,1547683200,68,69.8,-20.22,-70.14,19.46
221,borogontsy,0,RU,1547685643,0,-48.86,62.67,131.17,2.62
222,mayahi,0,NE,1547685644,36,54.51,13.95,7.67,9.66
223,kovdor,76,RU,1547685644,83,8.84,67.56,30.47,3.18
224,portland,90,US,1547682960,53,48.02,45.52,-122.67,16.11
225,sohag,0,EG,1547685645,69,38.72,26.55,31.7,6.64
226,butaritari,92,KI,1547685224,100,84.62,3.07,172.79,19.51
227,grindavik,90,IS,1547683200,79,28.4,63.84,-22.43,5.82
228,rawson,0,AR,1547685626,28,64.37,-43.3,-65.11,10.11
229,hobyo,44,SO,1547685261,92,73.14,5.35,48.53,10.67
230,tiksi,20,RU,1547685238,0,-41.79,71.64,128.87,6.87
231,bathsheba,75,BB,1547683200,74,78.8,13.22,-59.52,16.11
232,plettenberg bay,0,ZA,1547685647,96,68.87,-34.05,23.37,16.82
233,guerrero negro,8,MX,1547685317,64,68.24,27.97,-114.04,8.43
234,leh,68,IN,1547684672,72,-4.94,34.16,77.58,1.95
235,bonthe,0,SL,1547685648,88,80.16,7.53,-12.5,5.41
236,agbor,24,NG,1547685648,88,74.13,6.26,6.15,5.3
237,acapulco,90,MX,1547682360,78,80.6,16.86,-99.88,3.36
238,isangel,8,VU,1547685264,96,81.2,-19.55,169.27,10.22
239,port lincoln,92,AU,1547685197,62,79.44,-34.72,135.86,22.53
240,sambava,56,MG,1547685650,100,76.56,-14.27,50.17,7.65
241,necochea,0,AR,1547685310,70,64.86,-38.55,-58.74,15.03
242,ketchikan,1,US,1547682960,95,39.02,55.34,-131.65,5.82
243,baiyin,12,CN,1547683200,77,-0.41,36.55,104.13,4.47
244,baykit,76,RU,1547685221,84,1.91,61.68,96.39,7.09
245,leningradskiy,36,RU,1547685313,84,-5.34,69.38,178.42,18.84
246,dawei,0,MM,1547685654,94,68.73,14.07,98.19,2.17
247,meulaboh,8,ID,1547685297,100,76.61,4.14,96.13,4.18
248,mokhsogollokh,32,RU,1547685655,0,-44.58,61.4,128.95,2.73
249,san rafael,75,AR,1547681280,49,69.8,-34.61,-68.33,12.75
250,maria enzersdorf,0,AT,1547685000,86,32.0,48.09,16.28,6.93
251,aktau,90,KZ,1547681400,100,39.2,43.65,51.16,15.66
252,maniitsoq,68,GL,1547685658,100,20.13,65.42,-52.9,18.5
253,ponta delgada,20,PT,1547683200,81,50.0,37.73,-25.67,5.82
